nnu315 38.41
nnu317 32.29
nnu324 39.57
nnu330 31.29
nnu333 41.29
nnu336 29
nnu341 40.86
nnu347 42.71
nnu349 31.71
nnu353 41.71
nnu354 29.86
nnu363 31.71
nnu369 37.29
nnu374 33.29
nnu375 33.29
nnu377 36.14
nnu378 36.14
nnu379 39
nnu384 39.41
nnu387 35.14
nnu388 35.14
nnu401 38
nnu404 34.14
nnu405 27.43
nnu413 28.29
nnu414 41
nnu415 41
nnu420 42.14
nnu421 39
nnu425 29.29
nnu431 40.29
nnu432 40.29
nnu434 29.14
nnu436 29.57
nnu437 35.14
nnu440 30
nnu441 30.86
nnu445 42
nnu452 29.86
nnu453 28.57
nnu454 28.57
nnu456 38.29
nnu462 31.86
nnu469 33.57
nnu474 36.57
nnu481 42.29
nnu484 35.86
nnu485 41
nnu489 40.57
nnu497 40.14
nnu498 39.86
nnu500 39
nnu501 39.57
nnu507 36.41
nnu525 43.41
nnu546 39.57
nnu554 34.57
nnu555 46.86
nnu558 43
nnu561 28.14
nnu564 33.14
nnu565 33.14
nnu566 33.14
nnu570 40.71
nnu578 33.41
nnu579 33.41
nnu584 35
nnu590 41
nnu591 30
nnu592 30
nnu593 39
nnu603 40
nnu609 42
nnu610 42
nnu615 44
nnu619 30.86
nnu621 33
nnu622 33
nnu623 31.43
nnu631 32.43
nnu639 33.29
nnu640 33.29
nnu641 27.86
nnu642 32.71
nnu643 32.71
nnu644 35.57
nnu652 40.56
nnu661 33.56
nnu676 29.29
nnu677 33.57
nnu684 40.71
nnu688 39.57
nnu689 39.57
nnu690 31.00
nnu695 40
nnu704 42.43
nnu705 42.43
nnu716 40.56
nnu717 40.56
nnu718 35.43
nnu728 42.43
nnu729 42.43
nnu739 44.56
nnu754 43
nnu755 43
nnu761 29
nnu762 40
nnu763 40
nnu766 39.86
nnu775 35.86
nnu788 40.29
nnu790 32
nnu791 32
nnu792 35.57
nnu796 36
nnu797 41.57
nnu803 31.86
nnu804 31.57
nnu806 41.43
nnu817 41.14
nnu820 33
nnu821 33
nnu826 40.71
nnu827 37
nnu828 37
nnu835 35.71
nnu837 25.29
nnu838 40.43
nnu839 40.43
nnu841 34.29
nnu856 26.57
nnu864 44.86
nnu880 27.29
nnu881 29
nnu882 39.56
nnu889 40
nnu896 40.43
nnu904 38.86
nnu905 29.14
nnu908 41
nnu914 39.57
nnu915 39.43
nnu916 30.14
nnu922 40
nnu923 40
nnu930 43
nnu931 41.57
nnu932 41.57
nnu944 46
nnu945 46
nnu946 36.43
nnu960 40.41
nnu961 34.71
nnu968 42
nnu972 34.14
nnu987 30.14
nnu995 42
nnu996 42
nnu1006 44.14
nnu1007 41.14
nnu1024 33
nnu1030 40.56
